,stno,dates,EP03,PP01,TX02,TX04
1,467490,20111101,3.9,0,31.7,20.9
2,467490,20111102,3.1,0,32.2,23.3
3,467490,20111103,1.9,0,30.7,23.8
4,467490,20111104,4.6,0,32.5,24.7
5,467490,20111105,1.6,0,31.7,23.5
6,467490,20111106,3.3,0,31.2,22.7
7,467490,20111107,3.8,5.7,28.4,22.9
8,467490,20111108,1.8,16,29.7,22.1
9,467490,20111109,1,51.8,26.2,19.8
10,467490,20111110,0.5,63.9,21.3,19.5
11,467490,20111111,2.1,5.1,24.8,19.4
12,467490,20111112,2,0,27.6,20.5
13,467490,20111113,1.6,0,27,21.4
14,467490,20111114,4.9,0,28.7,21.1
15,467490,20111115,2.1,0,28,21.1
16,467490,20111116,1.6,0.4,26.9,22
17,467490,20111117,0.6,0.4,27.5,22.7
18,467490,20111118,0.2,0.1,27.7,22.2
19,467490,20111119,0.9,7.2,30.6,21.4
20,467490,20111120,3.2,0,26.3,20.6
21,467490,20111121,3.1,0,27.3,18.5
22,467490,20111122,2,0,27.5,20.2
23,467490,20111123,2.5,0,26.5,19.9
24,467490,20111124,2.8,0,26.2,18.3
25,467490,20111125,3.2,0,25.8,17.5
26,467490,20111126,0.6,0.1,25.1,19.4
27,467490,20111127,0.7,0,25.5,20
28,467490,20111128,2.1,0,27.5,18.3
29,467490,20111129,2.6,0,29.3,18.2
30,467490,20111130,4,0,28.5,20.5
31,467490,20111101,3.9,0,31.7,20.9
32,467490,20111102,3.1,0,32.2,23.3
33,467490,20111103,1.9,0,30.7,23.8
34,467490,20111104,4.6,0,32.5,24.7
35,467490,20111105,1.6,0,31.7,23.5
36,467490,20111106,3.3,0,31.2,22.7
37,467490,20111107,3.8,5.7,28.4,22.9
38,467490,20111108,1.8,16,29.7,22.1
39,467490,20111109,1,51.8,26.2,19.8
40,467490,20111110,0.5,63.9,21.3,19.5
41,467490,20111111,2.1,5.1,24.8,19.4
42,467490,20111112,2,0,27.6,20.5
43,467490,20111113,1.6,0,27,21.4
44,467490,20111114,4.9,0,28.7,21.1
45,467490,20111115,2.1,0,28,21.1
46,467490,20111116,1.6,0.4,26.9,22
47,467490,20111117,0.6,0.4,27.5,22.7
48,467490,20111118,0.2,0.1,27.7,22.2
49,467490,20111119,0.9,7.2,30.6,21.4
50,467490,20111120,3.2,0,26.3,20.6
51,467490,20111121,3.1,0,27.3,18.5
52,467490,20111122,2,0,27.5,20.2
53,467490,20111123,2.5,0,26.5,19.9
54,467490,20111124,2.8,0,26.2,18.3
55,467490,20111125,3.2,0,25.8,17.5
56,467490,20111126,0.6,0.1,25.1,19.4
57,467490,20111127,0.7,0,25.5,20
58,467490,20111128,2.1,0,27.5,18.3
59,467490,20111129,2.6,0,29.3,18.2
60,467490,20111130,4,0,28.5,20.5
61,467490,20111201,2.2,0,23.4,17.3
62,467490,20111202,1.7,0,17.8,14.6
63,467490,20111203,1.9,0,22.7,14.2
64,467490,20111204,2.4,0,25.3,13.1
65,467490,20111205,2.9,30.9,20.4,17.3
66,467490,20111206,1.4,0.5,27.5,18.2
67,467490,20111207,2.5,0,25.8,20.4
68,467490,20111208,2.6,0,23.6,16.4
69,467490,20111209,2.7,0.8,16.7,14.6
70,467490,20111210,0.9,0,19.9,14.3
71,467490,20111211,1,2.2,19.5,13.4
72,467490,20111212,2,0,22.5,16.4
73,467490,20111213,2.2,0.2,23.1,17.7
74,467490,20111214,1.5,1,25.4,18.3
75,467490,20111215,2.2,0,23.2,17.4
76,467490,20111216,1.7,0,20.1,14.6
77,467490,20111217,1.7,0,20.1,13.9
78,467490,20111218,3.4,0,22.5,13.2
79,467490,20111219,2.6,0,22.7,13.9
80,467490,20111220,1.9,0,22.3,16.8
81,467490,20111221,1.7,0,23.1,18.6
82,467490,20111222,1.5,0,19.8,14.7
83,467490,20111223,2.6,0,19.9,13.9
84,467490,20111224,2.5,0,16.9,10.3
85,467490,20111225,2.4,0,20.6,9.6
86,467490,20111226,2.5,0,22.6,11.6
87,467490,20111227,1.7,0,23.5,12.1
88,467490,20111228,2.2,0,22.2,13.2
89,467490,20111229,1.9,0,23.9,14.4
90,467490,20111230,2.3,0,22.1,16.2
91,467490,20111231,1.9,1.5,19.3,14.5
92,467490,20120101,2.1,0,21.6,13.9
93,467490,20120102,1.4,0,19.4,13.5
94,467490,20120103,2.3,0,22.2,11.9
95,467490,20120104,2.2,0,15.8,10.8
96,467490,20120105,0.3,3.5,13.7,10.9
97,467490,20120106,0.2,12.5,17.4,13.1
98,467490,20120107,2.5,0,22.6,14.3
99,467490,20120108,2.1,0,21.9,14.7
100,467490,20120109,1.9,0,22.8,14.7
101,467490,20120110,2.6,0,24,14.6
102,467490,20120111,2.9,0,20.1,15
103,467490,20120112,1.3,0,22.4,14.6
104,467490,20120113,0.6,0.6,21.4,16.3
105,467490,20120114,0.9,1.5,23,17.1
106,467490,20120115,1.3,2.7,23.2,16.7
107,467490,20120116,1.3,14,17.4,14.6
108,467490,20120117,1.9,0,22.4,11.1
109,467490,20120118,2,0,25.9,15.2
110,467490,20120119,2.6,0,25.7,14.8
111,467490,20120120,2,0,23,14.6
112,467490,20120121,2.1,0,22.7,15.8
113,467490,20120122,0.9,7.1,16.7,11.9
114,467490,20120123,0.4,4.2,15.3,11.3
115,467490,20120124,1.4,7.8,19.3,12.7
116,467490,20120125,1.4,3.2,16.1,11.7
117,467490,20120126,1.5,0,21.2,11.6
118,467490,20120127,2.4,0,22.7,12.8
119,467490,20120128,2.2,0,23,12.8
120,467490,20120129,3.4,0,21.7,15.6
121,467490,20120130,4.6,0,21.3,14.8
122,467490,20120131,2,0,20.5,12.9
123,467490,20120201,2.2,0,20.8,11.4
124,467490,20120202,1.7,0,22.3,13.8
125,467490,20120203,1.6,0,16.1,12.8
126,467490,20120204,1.8,0,24.8,13
127,467490,20120205,2.9,0,26.3,15.4
128,467490,20120206,1.8,0,28.2,17.7
129,467490,20120207,1.7,11.5,23,11.8
130,467490,20120208,0.8,11.2,12.4,10.1
131,467490,20120209,0.8,0,16.3,10.1
132,467490,20120210,2.3,0,22.2,12.2
133,467490,20120211,2.5,0,20.8,14.3
134,467490,20120212,3.9,0,20,14.6
135,467490,20120213,1.6,0,27.8,14.6
136,467490,20120214,3.8,0,28.3,16.8
137,467490,20120215,2,0.2,22.4,16.6
138,467490,20120216,2.8,0,21.1,14.8
139,467490,20120217,3,0,17.8,12.7
140,467490,20120218,2.5,0,19.5,12
141,467490,20120219,1.7,0,18.4,11.7
142,467490,20120220,2.7,0,21.4,12.9
143,467490,20120221,1.2,0,22,14.3
144,467490,20120222,2.3,0.1,27.7,17.9
145,467490,20120223,1.5,6.2,28.6,19.5
146,467490,20120224,1,3.8,22.1,16.1
147,467490,20120225,1.8,14.1,19.1,13.7
148,467490,20120226,1.1,1.7,14.4,12.5
149,467490,20120227,0.5,10.8,14.7,12
150,467490,20120228,0.3,17.6,15.6,11.8
151,467490,20120229,1.3,0,22.4,11.6
152,467490,20120301,2.3,0,26.4,13.5
153,467490,20120302,3.2,0,28.4,15.7
154,467490,20120303,2.3,0,27.9,16.1
155,467490,20120304,1.6,0,27.3,15.2
156,467490,20120305,3.1,0,30.7,18
157,467490,20120306,6.1,0,29.7,17.5
158,467490,20120307,3.2,0,26,16.1
159,467490,20120308,1.7,0,23,14.8
160,467490,20120309,1.3,4.1,17.6,13
161,467490,20120310,0.8,8.2,15.1,12
162,467490,20120311,0.4,11,15.7,12.4
163,467490,20120312,0.6,11.9,17.1,12.5
164,467490,20120313,1.9,5.6,18.9,12.9
165,467490,20120314,1.4,0,19.1,14.3
166,467490,20120315,2.7,0,25.7,15.1
167,467490,20120316,3,0,30.3,16
168,467490,20120317,3.7,0,30.9,21
169,467490,20120318,3.4,0,31,22.1
170,467490,20120319,2.9,0,28.1,19.8
171,467490,20120320,2.8,0,27.9,17.5
172,467490,20120321,3.3,0,23.5,17
173,467490,20120322,3.2,0,29,17.7
174,467490,20120323,4.9,0,32.2,16.7
175,467490,20120324,2.5,0,16.9,12.6
176,467490,20120325,3.2,0,24.7,14.1
177,467490,20120326,3.1,0,26,14
178,467490,20120327,3.4,0,27.4,15.8
179,467490,20120328,4.1,0,27.7,17
180,467490,20120329,2.6,0,26.5,18.2
181,467490,20120330,3.6,0,29,17
182,467490,20120331,5.6,0,24.8,17.7
